epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13278,0,73.3365,0,0,0,0,0,0,54.7523,0,0,0,0
2,8.09347,0,84.9912,0,0,0,0,0,0,53.4188,0,1.63399e-05,1.63399e-05,1.63399e-05
3,12.1779,0,90.0524,0,0,0,0,0,0,51.0596,0,3.20197e-05,3.20197e-05,3.20197e-05
4,15.9973,0,72.4591,0,0,0,0,0,0,48.5324,0,4.70394e-05,4.70394e-05,4.70394e-05
5,19.7276,0,77.0558,0,0,0,0,0,0,44.8771,0,6.13989e-05,6.13989e-05,6.13989e-05
6,23.4823,0,71.1326,0,0,0,0,0,0,40.9745,0,7.50984e-05,7.50984e-05,7.50984e-05
7,27.2416,0,46.1374,0,0,0,0,0,0,37.2165,0,8.81376e-05,8.81376e-05,8.81376e-05
8,31.0654,0,40.8901,0,0,0,0,0,0,32.6354,0,0.000100517,0.000100517,0.000100517
9,34.8223,0,28.5837,0,0,0,0,0,0,30.1903,0,0.000112236,0.000112236,0.000112236
10,39.181,0,23.6939,0,0,0,0,0,0,36.0463,0,0.000123295,0.000123295,0.000123295
11,43.7061,0,17.9314,0,0,0,0,0,0,43.129,0,0.000133693,0.000133693,0.000133693
12,47.6466,0,13.3052,0,0,0,0,0,0,48.9958,0,0.000143432,0.000143432,0.000143432
13,51.8317,0,11.1231,0,0,0,0,0,0,39.2866,0,0.00015251,0.00015251,0.00015251
14,56.4391,0,10.6337,0,0,0,0,0,0,31.8529,0,0.000160929,0.000160929,0.000160929
15,60.5413,0,9.99624,0,0,0,0,0,0,25.1283,0,0.000168687,0.000168687,0.000168687
16,65.43,0,9.80917,0,0,0,0,0,0,21.3901,0,0.000175785,0.000175785,0.000175785
17,69.5313,0,9.37286,0,0,0,0,0,0,18.6134,0,0.000182223,0.000182223,0.000182223
18,73.5417,0,9.28581,0,0,0,0,0,0,18.6134,0,0.000188001,0.000188001,0.000188001
19,77.2754,0,9.23079,0,0,0,0,0,0,15.9262,0,0.000193119,0.000193119,0.000193119
20,80.8309,0,9.04693,0,0,0,0,0,0,15.9262,0,0.000197576,0.000197576,0.000197576
21,84.4667,0,9.0481,0,0,0,0,0,0,14.102,0,0.000201374,0.000201374,0.000201374
22,88.0709,0,8.8417,0,0,0,0,0,0,14.102,0,0.000204511,0.000204511,0.000204511
23,91.7378,0,8.88051,0,0,0,0,0,0,12.8922,0,0.000206988,0.000206988,0.000206988
24,95.3734,0,8.78024,0,0,0,0,0,0,12.8922,0,0.000208805,0.000208805,0.000208805
25,98.987,0,8.66866,0,0,0,0,0,0,12.0527,0,0.000209962,0.000209962,0.000209962
26,102.587,0,8.59542,0,0,0,0,0,0,12.0527,0,0.000210459,0.000210459,0.000210459
27,106.386,0,8.55056,0,0,0,0,0,0,11.4035,0,0.000210295,0.000210295,0.000210295
28,109.963,0,8.39491,0,0,0,0,0,0,11.4035,0,0.000209472,0.000209472,0.000209472
29,113.622,0,8.38598,0,0,0,0,0,0,10.8715,0,0.000207988,0.000207988,0.000207988
30,117.235,0,8.24661,0,0,0,0,0,0,10.8715,0,0.000205844,0.000205844,0.000205844
31,120.88,0,8.2458,0,0,0,0,0,0,10.4161,0,0.000203041,0.000203041,0.000203041
32,124.499,0,8.05434,0,0,0,0,0,0,10.4161,0,0.000199577,0.000199577,0.000199577
33,128.18,0,8.12165,0,0,0,0,0,0,10.0364,0,0.000195452,0.000195452,0.000195452
34,131.857,0,7.97554,0,0,0,0,0,0,10.0364,0,0.000190668,0.000190668,0.000190668
35,135.506,0,7.94849,0,0,0,0,0,0,9.80341,0,0.000185224,0.000185224,0.000185224
36,139.087,0,7.88952,0,0,0,0,0,0,9.80341,0,0.000179119,0.000179119,0.000179119
37,142.778,0,7.8867,0,0,0,0,0,0,9.63818,0,0.000172354,0.000172354,0.000172354
38,146.584,0,7.803,0,0,0,0,0,0,9.63818,0,0.00016493,0.00016493,0.00016493
39,150.324,0,7.84978,0,0,0,0,0,0,9.50852,0,0.000156845,0.000156845,0.000156845
40,153.936,0,7.72203,0,0,0,0,0,0,9.50852,0,0.0001481,0.0001481,0.0001481
41,157.919,0,7.75222,0,0,0,0,0,0,9.38652,0,0.000138694,0.000138694,0.000138694
42,161.724,0,7.75797,0,0,0,0,0,0,9.38652,0,0.000128629,0.000128629,0.000128629
43,165.515,0,7.737,0,0,0,0,0,0,9.25212,0,0.000117904,0.000117904,0.000117904
44,169.208,0,7.7164,0,0,0,0,0,0,9.25212,0,0.000106518,0.000106518,0.000106518
45,173.169,0,7.64764,0,0,0,0,0,0,9.12581,0,9.44722e-05,9.44722e-05,9.44722e-05
46,176.937,0,7.64205,0,0,0,0,0,0,9.12581,0,8.17663e-05,8.17663e-05,8.17663e-05
47,180.749,0,7.60391,0,0,0,0,0,0,9.00842,0,6.84003e-05,6.84003e-05,6.84003e-05
48,184.46,0,7.56969,0,0,0,0,0,0,9.00842,0,5.43742e-05,5.43742e-05,5.43742e-05
49,188.253,0,7.54539,0,0,0,0,0,0,8.93614,0,3.96879e-05,3.96879e-05,3.96879e-05
50,191.988,0,7.54361,0,0,0,0,0,0,8.93614,0,2.43415e-05,2.43415e-05,2.43415e-05
